,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
524243642/badger/zskiplist.py,0.5,2,0.2222222222222222,9,0.05263157894736842,38,0.0,5,0.0,1,0.0,2,1
524243642/badger/zskiplist_ex.py,0.0,2,0.21428571428571427,14,0.0,1,0.0,0,0.0,1,0.0,0,1
524243642/badger/zskiplist_level.py,0.0,2,0.0,1,0.0,2,0.0,0,0.0,1,0.0,0,1
524243642/badger/zskiplist_node.py,0.5,2,0.0,2,0.2,5,0.0,0,0.0,1,0.0,0,1
52North/pygeoapi-odc-provider/__init__.py,0.0,0,0.0,0,0.0,0,1.0,2,0.14285714285714285,14,0.0,0,0
52North/pygeoapi-odc-provider/constants.py,0.0,0,0.0,0,0.0,3,0.0,11,0.16666666666666666,12,0.0,3,0
52North/pygeoapi-odc-provider/create_config.py,0.0,0,0.6666666666666666,6,0.20588235294117646,34,0.015873015873015872,63,0.10526315789473684,19,0.0,3,1
52North/pygeoapi-odc-provider/records.py,0.5,2,0.2,10,0.14285714285714285,21,0.01694915254237288,59,0.10256410256410256,39,0.0,4,1
52North/pygeoapi-odc-provider/setup.py,0.0,0,0.0,0,0.14285714285714285,14,0.0,20,0.0625,16,0.0,0,1
52North/pygeoapi-odc-provider/test_create_config.py,0.0,0,0.25,4,0.16666666666666666,12,0.1,60,0.1875,16,0.0,0,1
52North/pygeoapi-odc-provider/test_records.py,1.0,2,0.0,5,0.043478260869565216,23,0.03571428571428571,56,0.2857142857142857,14,0.0,0,1
52North/pygeoapi-odc-provider/test_utils.py,0.0,0,0.0,1,0.1111111111111111,9,0.3333333333333333,3,0.1875,16,0.0,0,0
52North/pygeoapi-odc-provider/utils.py,0.0,0,0.14285714285714285,7,0.125,8,0.1111111111111111,9,0.09523809523809523,21,0.0,2,0
52Sarah/play-song/test_clearcache.py,0.0,0,0.0,1,0.0,2,0.0,3,0.0,2,0.0,0,1
52Sarah/play-song/test_clearqueue.py,0.0,0,0.0,1,0.0,2,0.0,2,0.0,2,0.0,0,1
52Sarah/play-song/test_playalbum.py,0.0,0,0.125,8,0.0,5,0.038461538461538464,26,0.0,2,0.125,8,1
